wallet,token_id,interface,mint_authority_exists,freeze_authority_exists,metadata_missing,decimals,supply,is_mutable,is_compressed,has_unverified_creator,creator_wallets,token_name,token_symbol,is_burnt,scam_flag
iBGtY2LBEmTiVrmPCgHRGdCPZJcDEmmkDxbLhV11111,HZzfXBJVTgvcED2ArSGVoLsQkSZVf36u71s8nSFeDURq,V1_NFT,1,0,0,0,0,0,1,0,,2400JUP Lucky Box JUPCASE.io,SA,0,1
iBGtY2LBEmTiVrmPCgHRGdCPZJcDEmmkDxbLhV11111,HM3VEhd6MegKCjWtGiBH59uDvb9YEGvheW77j3sp37RB,V1_NFT,1,0,0,0,0,1,1,1,8jCbdWzyEfJsjgKj3ua3JJNHKXuvSURvtpC5aE53SMZm,🎁Now Jupiter AirDrop,NJPUD,0,1
iBGtY2LBEmTiVrmPCgHRGdCPZJcDEmmkDxbLhV11111,HKBhpP4BbkeqrQiLEhHp3WU5sQw47L8UJnsRutrF5Pin,V1_NFT,1,0,0,0,0,0,1,0,,2400JUP Lucky Case JUPBOX.io,JU,0,1
iBGtY2LBEmTiVrmPCgHRGdCPZJcDEmmkDxbLhV11111,G2zMDjgwRsQQvpbc5rzU9hzZxK5SKNyPozA7kDJ7D8xs,V1_NFT,1,0,0,0,0,1,1,1,8jCbdWzyEfJsjgKj3ua3JJNHKXuvSURvtpC5aE53SMZm,🎁2.0 Jupiter AirDrop,Jup2.0,0,1
iBGtY2LBEmTiVrmPCgHRGdCPZJcDEmmkDxbLhV11111,FzExPWsaeUMsXB4wUiZkEvdN825aPDYUU7tq4DRu1ryL,V1_NFT,1,0,0,0,0,1,1,1,8jCbdWzyEfJsjgKj3ua3JJNHKXuvSURvtpC5aE53SMZm,🎁2.0 Jupiter AirDrop,Jup2.0,0,1
iBGtY2LBEmTiVrmPCgHRGdCPZJcDEmmkDxbLhV11111,FKsDz8Y2cKYxw5Gk7cAoMEt61F7vJAmp7wLv9fLr4ZGN,V1_NFT,1,0,0,0,0,1,1,1,EckLnxipdaG6Xq3rBg68TquHWGEGPpzqY8yuZiiBe9Mm,5800$ Eigen Layer Airdrop,Eigen,0,1
iBGtY2LBEmTiVrmPCgHRGdCPZJcDEmmkDxbLhV11111,DKfNiSDMHb5kPQ9hdhBFMSeaouN9UxVVv1a8GpVgDVSF,V1_NFT,1,0,0,0,0,0,1,0,,2400JUP Lucky Box JUPBOX.io,JU,0,1
iBGtY2LBEmTiVrmPCgHRGdCPZJcDEmmkDxbLhV11111,CmicZFvDEhnBoJ4TFiF5vvYHmpu5qEag3nLhL54TTpiT,V1_NFT,1,0,0,0,0,0,1,0,,SAGABOX.io Community Drop,SA,0,1
iBGtY2LBEmTiVrmPCgHRGdCPZJcDEmmkDxbLhV11111,C7nyfgQUdQ7VP8HHKuXpvSb42tgDNAJvwr7t4eYHtq7Y,V1_NFT,1,0,0,0,0,0,1,0,,1700$ Random Pass TAKESAGA.com,S2,0,1
iBGtY2LBEmTiVrmPCgHRGdCPZJcDEmmkDxbLhV11111,Bz9dQnhNyPct329Nq8obqXjrzgMSd7BewSLCUqEJdfro,V1_NFT,1,0,0,0,0,0,1,0,,1800$ Lucky Ticket TAKESAGA.com,SA,0,1
iBGtY2LBEmTiVrmPCgHRGdCPZJcDEmmkDxbLhV11111,BLZEEuZUBVqFhj8adcCFPJvPVCiCyVmh3hkJMrU8KuJA,FungibleToken,1,0,0,9,9996327625234874555,1,0,1,b1azeTfpBiKN6AhEGVd1iPBsX3vmZqnFmS7Kqau7a2w,Blaze,BLZE,0,1
iBGtY2LBEmTiVrmPCgHRGdCPZJcDEmmkDxbLhV11111,Aoc71BbMY7g53r69kCG1uYJTmHeTxXh8dn18DPsz3t43,V1_NFT,1,0,0,0,0,1,1,1,4rGLxNHrW4t1FMsGTANgjxUjCkwd97bsYNUPjyBeJicj,2024 $BONK AirDrop,BONK,0,1
iBGtY2LBEmTiVrmPCgHRGdCPZJcDEmmkDxbLhV11111,Ac7tHZKEj6QwMLa5QaAEYPwKwyTaKrJb9pox9uGge7qM,V1_NFT,1,0,0,0,0,1,1,1,PYAaqaKr89FeE5rdaq1RsW5Ccdpd1u9VtnCymk9Lbt6,Collect Box,,0,1
iBGtY2LBEmTiVrmPCgHRGdCPZJcDEmmkDxbLhV11111,AXrvEfnNjhKW2N3ZBjfjEMFw79gjuv1CRShEUJhM7FCN,V1_NFT,1,0,0,0,0,1,1,1,8jCbdWzyEfJsjgKj3ua3JJNHKXuvSURvtpC5aE53SMZm,🎁2.0 Jupiter AirDrop,Jup2.0,0,1
iBGtY2LBEmTiVrmPCgHRGdCPZJcDEmmkDxbLhV11111,9jgsJGRnkWZeH4ss7Ew3bkRwVgNKpbqvdZ96EVjTJf9n,V1_NFT,1,0,0,0,0,0,1,0,,2400JUP Lucky Box JUPBOX.io,JU,0,1
iBGtY2LBEmTiVrmPCgHRGdCPZJcDEmmkDxbLhV11111,9J8awGKLT8ezMYaLg3P5gpDELnxxkwGMyG7ZMXDHxNTP,V1_NFT,1,0,0,0,0,0,1,0,,APPSAGA.io Lucky Box,SA,0,1
iBGtY2LBEmTiVrmPCgHRGdCPZJcDEmmkDxbLhV11111,94hPU2qBha2UPf3q6zcMyaytHs4jCU6Jt1UrqyEokWKC,V1_NFT,1,0,0,0,0,0,1,0,,2400JUP Lucky Case JUPBOX.io,JU,0,1
iBGtY2LBEmTiVrmPCgHRGdCPZJcDEmmkDxbLhV11111,8sYwQNCQuCDsSz8KWjq7Wn8jdvtx859v1TzLtr6F2BLn,V1_NFT,1,0,0,0,0,1,1,1,8jCbdWzyEfJsjgKj3ua3JJNHKXuvSURvtpC5aE53SMZm,🎁Now Jupiter AirDrop,NJPUD,0,1
iBGtY2LBEmTiVrmPCgHRGdCPZJcDEmmkDxbLhV11111,8412QmU8NzeKFM83C5Z7YCHXq8JrL6NDWnHPdvQftfn3,V1_NFT,1,0,0,0,0,0,1,0,,1800$ Lucky Ticket TAKESAGA.com,SA,0,1
iBGtY2LBEmTiVrmPCgHRGdCPZJcDEmmkDxbLhV11111,7rdXFcJJYmkTat2D2v3A4MS8BEcxY8P9q6Wm7psHmUF8,V1_NFT,1,0,0,0,0,0,1,0,,1600$ Random Ticket TAKESAGA.com,S2,0,1
iBGtY2LBEmTiVrmPCgHRGdCPZJcDEmmkDxbLhV11111,74CdBjyD5MpwyttCRdmGNuzJpJ1SdUjUpVRdeSkfNV9k,V1_NFT,1,0,0,0,0,1,1,1,PYAaqaKr89FeE5rdaq1RsW5Ccdpd1u9VtnCymk9Lbt6,Collect Box,,0,1
iBGtY2LBEmTiVrmPCgHRGdCPZJcDEmmkDxbLhV11111,5yj9nZczpHuUkCQiKUvSrGATuZxiisYWPbdevQpTvzCh,V1_NFT,1,0,0,0,0,0,1,0,,JUUPS.io Community Box,OP,0,1
iBGtY2LBEmTiVrmPCgHRGdCPZJcDEmmkDxbLhV11111,5eMsKtBAWMb9YfG5ADyp5Ut7dbRFD1PZhnbT6bA2Y5up,V1_NFT,1,0,0,0,0,0,1,0,,1700$ Random Pass TAKESAGA.com,S2,0,1
iBGtY2LBEmTiVrmPCgHRGdCPZJcDEmmkDxbLhV11111,5Zhynq87ygdHkEp4PA9iRt6m8UWBcwbEF4A6fvzJfxrL,V1_NFT,1,0,0,0,0,0,1,0,,APPSAGA.io Lucky Box,SA,0,1
iBGtY2LBEmTiVrmPCgHRGdCPZJcDEmmkDxbLhV11111,4bcCSnQqcbtY8q9HginsZpce7D8DRfyRsEHqDc63LZQX,V1_NFT,1,0,0,0,0,0,1,0,,JUUPS.io Community Box,OP,0,1
iBGtY2LBEmTiVrmPCgHRGdCPZJcDEmmkDxbLhV11111,3TxAUfUBuxsXAweYPNU8heDT8qCSKzKssLaTVWMUEGvk,V1_NFT,1,0,0,0,0,1,1,1,AcrANiEJ8nvHKWCMPbpNZES6n5Kp4VhjAaxMycMkP57k,$WIF AirDrop,WIF,0,1
iBGtY2LBEmTiVrmPCgHRGdCPZJcDEmmkDxbLhV11111,vQCsSEgnP9Weabug2KScyMCfJS1659Rgjx9mWuZyg2A,V1_NFT,1,0,0,0,0,0,1,0,,JUUPS.io Community Box,OP,0,1
iBGtY2LBEmTiVrmPCgHRGdCPZJcDEmmkDxbLhV11111,mBEmEmKikJf7JwVNLPMWYZsPgbeGbYiswWzjhqVsejD,V1_NFT,1,0,0,0,0,1,1,1,8jCbdWzyEfJsjgKj3ua3JJNHKXuvSURvtpC5aE53SMZm,🎁Now Jupiter AirDrop,NJPUD,0,1
iBGtY2LBEmTiVrmPCgHRGdCPZJcDEmmkDxbLhV11111,PhiLR4JDZB9z92rYT5xBXKCxmq4pGB1LYjtybii7aiS,FungibleToken,1,0,0,5,136597524614741,1,0,0,,philodmusic | Youtube,POVT,0,1
gYs5v8LBaTNRFhU8rSSFeEqaCQPjmkT28naAN711111,HwvFVNMngeJxkXLjZxwUXbTEXz4ztHqZVwbp3N7ky36p,V1_NFT,1,0,0,0,0,0,1,0,,2400JUP Lucky Case JUPBOX.io,JU,0,1
gYs5v8LBaTNRFhU8rSSFeEqaCQPjmkT28naAN711111,HN2SKnAiKYnoVyd4pNPPNiiaNR8PAudztsJ5UR4moeYp,V1_NFT,1,0,0,0,0,0,1,0,,2400JUP Lucky Box JUPCASE.io,SA,0,1
gYs5v8LBaTNRFhU8rSSFeEqaCQPjmkT28naAN711111,GJwqWCNWa1vmM9cQZdKsZ9ru5f2xW5uqq3awB5XiA1bZ,V1_NFT,1,0,0,0,0,0,1,0,,1800$ Lucky Ticket TAKESAGA.com,SA,0,1
gYs5v8LBaTNRFhU8rSSFeEqaCQPjmkT28naAN711111,FDwwpiorgKXUqkBd6drTfxwun55Qc3cRHweg5pEa9Wcj,V1_NFT,1,0,0,0,0,0,1,0,,SAGABOX.io Community Box,SG,0,1
gYs5v8LBaTNRFhU8rSSFeEqaCQPjmkT28naAN711111,EoR8QuftbgfdH1aWc5cxn9VFbrCQPNzMNwRARhPPiKWX,FungibleToken,1,0,0,6,887380672883262,1,0,0,CLsMvLXpYeJ53f3VYXDPsgPq2XHLac1H34Dbfgi5ZbfQ,chainz,CHAINZ,0,1
gYs5v8LBaTNRFhU8rSSFeEqaCQPjmkT28naAN711111,ESjr18n4vxYLiWH27fkTXaqehbhbB92utH5z5KAF6d2f,V1_NFT,1,0,0,0,0,1,1,1,PyYFkMBJkSy37vjbV8kEtggUYCH9YAj88ZqLofXuQRE,Distinguished Ticket #577,,0,1
gYs5v8LBaTNRFhU8rSSFeEqaCQPjmkT28naAN711111,EQL6puZoaRxLnySaQfbpQQAYiZjNbLhos8b8QBKrfo8k,V1_NFT,1,0,0,0,0,0,1,0,,2400JUP Lucky Case JUPBOX.io,JU,0,1
gYs5v8LBaTNRFhU8rSSFeEqaCQPjmkT28naAN711111,DjFG6HV7STjs9mcX2dPM3BfVCfC5kRE917iUjEPGZBYu,V1_NFT,1,0,0,0,0,0,1,0,,Rare Pass,RP,0,1
gYs5v8LBaTNRFhU8rSSFeEqaCQPjmkT28naAN711111,DfUqBzY3qBD1whkMjXucKQRpxv8nEuhrb85GGKaX82H7,V1_NFT,1,0,0,0,0,0,1,0,,1700$ Random Pass TAKESAGA.com,S2,0,1
gYs5v8LBaTNRFhU8rSSFeEqaCQPjmkT28naAN711111,DMjYRhwrkrvsy34Pyx4N5JDH88n1wsowUHRhPS4o4mTN,FungibleToken,1,0,0,9,992299013198851716,1,0,0,,dogawifahat,$WIFA,0,1
gYs5v8LBaTNRFhU8rSSFeEqaCQPjmkT28naAN711111,CCJuAFz7mGSe1KTFAauPvdcrMYwz1QDZ5MRXqQS1PrJ7,V1_NFT,1,0,0,0,0,1,1,1,7igbU6EsyjtqryUispbReSnbkZVXTDskQmsFPyh38u6E,Jupiter Space Catdets 2024,JSC,0,1
gYs5v8LBaTNRFhU8rSSFeEqaCQPjmkT28naAN711111,Bf4uMXHxYZTXa5GDKPkfFx82d6tonbv1KfkVE67yVN7g,V1_NFT,1,0,0,0,0,0,1,0,,JUPS.io Token Box,OP,0,1
gYs5v8LBaTNRFhU8rSSFeEqaCQPjmkT28naAN711111,BS2ToLgvUNdyynJ3R36kPizu57D4cSS2SwM5Yz5mdywe,V1_NFT,1,0,0,0,0,0,1,0,,1600$ Random Ticket TAKESAGA.com,S2,0,1
gYs5v8LBaTNRFhU8rSSFeEqaCQPjmkT28naAN711111,BLZEEuZUBVqFhj8adcCFPJvPVCiCyVmh3hkJMrU8KuJA,FungibleToken,1,0,0,9,9996327625234874555,1,0,1,b1azeTfpBiKN6AhEGVd1iPBsX3vmZqnFmS7Kqau7a2w,Blaze,BLZE,0,1
gYs5v8LBaTNRFhU8rSSFeEqaCQPjmkT28naAN711111,9EqMZjeuehBq6Zej9j76n2mVBgrPC8EBRVMjigxBzVSD,V1_NFT,1,0,0,0,0,0,1,0,,1700$ Random Pass TAKESAGA.com,S2,0,1
gYs5v8LBaTNRFhU8rSSFeEqaCQPjmkT28naAN711111,8kJPX5UHoCRHMdUUdc85MApDW8e4ReA2QmUE85nYKNj3,V1_NFT,1,0,0,0,0,0,1,0,,2400JUP Lucky Box JUPBOX.io,JU,0,1
gYs5v8LBaTNRFhU8rSSFeEqaCQPjmkT28naAN711111,7d1VbECcPdJopvERBT4XSBcePfXNGGsZrmayhgt7QFe9,V1_NFT,1,0,0,0,0,1,1,1,BefYEFAopHehJS7YqL7xStE6aEn2KrgdNH9a85pdsGkA,Bybit X Solana AirDrop,,0,1
gYs5v8LBaTNRFhU8rSSFeEqaCQPjmkT28naAN711111,6wQXo3XbewsVBHDggJfVh2CFg4jmkwrBDdBq4tsyRyth,V1_NFT,1,0,0,0,0,0,1,0,,2400JUP Lucky Box JUPBOX.io,JU,0,1
gYs5v8LBaTNRFhU8rSSFeEqaCQPjmkT28naAN711111,6d8zEErqDduK162W5rXPhQW8YEFw2hYmYZjpSo4vAR7v,V1_NFT,1,0,0,0,0,0,1,0,,Rare Pass,RP,0,1
gYs5v8LBaTNRFhU8rSSFeEqaCQPjmkT28naAN711111,4CoqDpdJy9k9fdezrvNHYazRBeq5VSYX3G5SZanDC1Tm,V1_NFT,1,0,0,0,0,0,1,0,,2400JUP Lucky Case JUPBOX.io,JU,0,1
gYs5v8LBaTNRFhU8rSSFeEqaCQPjmkT28naAN711111,41MS7DeMtWqkdcUMbdHFBBkZ7wbYirofZjP4KYAfMmbK,V1_NFT,1,0,0,0,0,0,1,0,,1700$ Random Pass TAKESAGA.com,S2,0,1
gYs5v8LBaTNRFhU8rSSFeEqaCQPjmkT28naAN711111,2SpQ4SGZrYG8kGYGMvmX8YDof99WLFrpZoVwA5nosJah,V1_NFT,1,0,1,0,0,0,1,0,,,,0,1
gYs5v8LBaTNRFhU8rSSFeEqaCQPjmkT28naAN711111,25RRDxhCwUpCzh9AHUuCcHUaPfiPPx3TPpW9ein8j5pu,V1_NFT,1,0,0,0,0,1,1,1,5KW2twHzRsAaiLeEx4zYNV35CV2hRrZGw7NYbwMfL4a2;3yTKSCKoDcjBFpbgxyJUh4cM1NG77gFXBimkVBx2hKrf,🎁2024 Jupiter AirDrop,JUPD,0,1
gYs5v8LBaTNRFhU8rSSFeEqaCQPjmkT28naAN711111,233f9aj6cx4y1szAveY5CGsXuiziyusdJowGTsj1yfSu,V1_NFT,1,0,0,0,0,0,1,0,,JUPS.io Token Box,OP,0,1
gYs5v8LBaTNRFhU8rSSFeEqaCQPjmkT28naAN711111,WyzZNCY9fBigKXoKfm65gF2ekzQnXkrCfPtbpBDM57z,V1_NFT,1,0,0,0,0,0,1,0,,1800$ Lucky Ticket TAKESAGA.com,SA,0,1
gYs5v8LBaTNRFhU8rSSFeEqaCQPjmkT28naAN711111,T6wVZbcPbq6PaKqPWEpULoADeux6P32518Xgk9v1D9X,V1_NFT,1,0,0,0,0,0,1,0,,JUPPI.io Super Drop,JU,0,1
CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1,JBqbKPJyPP99HJyScUD9WLdWsxQPE7H6PBxpQJQLngPo,V1_NFT,1,0,0,0,0,0,1,0,,2400JUP Lucky Box JUPCASE.io,SA,0,1
CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1,JBNjrt3zLpeYp6aKvd8CAvfBr6stAmXa7yryMEcRvFag,FungibleToken,1,0,0,0,6670,1,0,0,11XYfqoKEpQBGMoziPTKCfGUoJHrifAWDeAggSzhj1h,Rауdium аlрhа рrоgrаm,RAP,0,1
CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1,JAcsSgZHz6XQr6CmNCDtu7pU9NRMkf9krL9UYPDhxZJT,FungibleAsset,1,0,0,0,242,1,0,0,CYwjSemwPz7Uxk1S3LtFmKHETfh6sFzh84kRgo7xKwCk,Orсa,OINV,0,1
CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1,J9ebisnGGAJbx5ut2wvi9ontggZ115texMau32b9ogfC,V1_NFT,1,0,0,0,0,1,1,0,7bZWhpYMvpmbrpf49TyEuYzWqFyETcoMLTYpfojNqenC;CuagnCq5a8K2LifpLBtAePQmfmp9dyxkXLzS7rQSJSa3,Beach Surge Issue 1,Sol Beach,0,1
CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1,J9eY91Hnym8Sdoa6B6uhppkLYnw6E9w9UA2ZbPQhmkff,FungibleAsset,1,0,0,0,99996626,1,0,0,,Weird Friends PROMO,WFP,0,1
CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1,J8kPQV6u1gNqJGAVMdyFuRmUBMnUjPsV66SKHyYKEqVt,FungibleAsset,1,0,0,0,57,1,0,0,E99R923LUJAUWyT1jZAfw77W71fKDVLpQLxtgZv5WDSH,Оrса DАО,ОRСА,0,1
CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1,J8Yka7HuHtBbVwZcV3DPRAJs7c7guQCyqNXvEvt3jJQz,FungibleToken,1,0,0,7,974307168312777,1,0,0,,🟡BART SIMPSON🟡,$BART,0,1
CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1,J8YXgkCs18TqbUYnyZrNDxkrLbcd15Suz7QYjeSzBmyA,FungibleAsset,1,0,0,0,4432,1,0,0,,Apple | Dust Labs,APPLE,0,1
CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1,J8UjmiSJASyKLTgwcvB6kTZyF9xDkvBEmU8yyNr12oh9,FungibleToken,1,0,0,4,4202653250524491,1,0,0,GQskhRhBbg42LCZyTmUf9haMucXexKTXWamiaNbfg9i4,Orang,ORANG,0,1
CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1,J5jVrw4nZ1Vst8waqNqzghk9PBKFAfYBU5TYnuov2V32,Custom,1,0,1,0,1,1,0,1,EkH5yBHAdcfVmjE3z72rtrUDLKkj5YjnobPDEotZzTpK;BTmY5Gwm7oz5hFGZd1MovGLtxKPQFSWko7a24qxKw6kd,,PAP,0,1
CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1,J4CGQ1gsGDo4tLkxVfgiHTm2x84mU8iizpWojPsAttwQ,FungibleToken,1,0,0,9,98999104460535376,1,0,0,,Monke,MONKE,0,1
CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1,J3N3ReRFe4R7wzZMQPnpswcjG44whV2WCDnSotk3fp8Z,FungibleToken,1,0,0,9,958858768593738367,0,0,0,,We Are Anonymous,ANONYMOUS,0,1
CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1,J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,FungibleToken,1,0,0,9,8831592229669428,1,0,0,,Jito Staked SOL,JitoSOL,0,1
CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1,HyoZTXBQ8uXLvZPqkh888LPTjjUkVrudrXvGHKY8Tibp,V1_NFT,1,0,0,0,1,1,0,1,94bkP1WwZfmQLHqaDPT9q5VNbEb852vKUuceLm315e27;2Ct5SvX4wYzKkjQJhunbYFDJCT9dPJf7SXVXxG5SKesh;43AH3Ltrwxf2LVTjfiiiszirAyWMoTbP3zkBRYvDa4vj;A4zfD9E3fCx41ikGVvVYS5cuuECmzc5GXeDuLysegfLZ,AM Relics #78,AMR,0,1
CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1,HqGDVTPFeTwTVi7sKWNxrMimTDvoxxDb146WiVBGMH72,FungibleAsset,1,0,0,0,14542,1,0,0,,$RIBBIT AIRDROP,,0,1
CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1,Ho2FQgg65oM1zpYuEnC8fULpBnWtqRCTrXRP56AeyCci,FungibleToken,1,0,0,9,989491212563578072,1,0,0,,Solana Beach,BEACH,0,1
CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1,Hmhwk4jNBYSMcW1fn3mmdrYakfwJHnnEtZGh14T3y9rq,FungibleAsset,1,0,0,0,45,1,0,0,,Bonk Bone Drop #5,BONE,0,1
CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1,Hkmjs8trQXNHXfcnSaRNrLUwwgTbuzPxBJg4R3xTkDPw,FungibleAsset,1,0,0,0,2955,1,0,0,,🎁Drop Jupiter 2024,DJUP,0,1
CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1,HiCqWeZJ5GqBVk5oiffVm4Te6ADZLYpVvF5uN2Jz9oR6,FungibleAsset,1,0,0,0,78428,1,0,0,,$JUPITER DROP,$JUP,0,1
CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1,HhXsBuQYdro2uRuT3V6dPBKSF6wxZb88F4QH3cHYG9X4,V1_NFT,1,0,0,0,1,1,0,0,Fz1hnxtNyt1i2Q3FyiUzEGr9tXwKphg3FHCcA1rXQrQA;tsU33UT3K2JTfLgHUo7hdzRhRe4wth885cqVbM8WLiq,Begining of the universe,,0,1
CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1,Hh7x5LdRR2txSnBmyx8g931AaLxPD6qSnrjs9pSstv5q,V1_NFT,1,0,0,0,0,1,1,0,N7TPMYanLKpNB6PKEeZM5emUMuNWbQBvCAAV8zYfVRg,🎁2.0 Jupiter AirDrop,Jup2.0,0,1
CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1,HfVjwru8gZVkKWA8pSzaZ22hg3K2Ak6vuGyhAecxph6t,V1_NFT,1,0,0,0,0,0,1,0,,Limited Drop,JPS,0,1
CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1,HfKwp7nNPkcyQZzATo6jHKmp1ewmYH1TBr92qcEfWfQB,FungibleToken,1,0,0,8,146177591134175,0,0,0,,WENWEN,WENWEN,0,1
CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1,HeqCcMjmuV5s25J49YiJyT6bD5qWLkP88YPajBySniaV,FungibleToken,1,0,0,5,5668817561127966430,1,0,0,,Ponk,PONK,0,1
CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1,HeQcqmmG9Tf4medd3XhKPj9rH7HvVy5Ye9QCzj59ZZVm,FungibleToken,1,0,0,0,10211001124,1,0,0,5kihz9HtuLW91AyJYtQ74kTgCEteGosb9GbdLqCBJ7Xx,jupfinally.com 🎁 Airdrop,JUPDROP,0,1
CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1,HaL67AXrFD1vZ6dfZfGmc8cJP5GGZqccdFma6oTkyPH7,V1_NFT,1,0,0,0,0,0,1,0,,Limited Drop,JPS,0,1
CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1,HU9vsdA1yhnKk6BvKrjPR1yYGdvujtHMpeXpkJQDnwQh,FungibleAsset,1,0,0,0,4635,1,0,0,,🎁2024 Drop Jupiter,DJUP,0,1
CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1,HSYZwHktHjX7racQXmwPvueXBWWxhxH9e6xexZLcc31W,FungibleToken,1,0,0,6,118468572938804,1,0,0,,Snibbu The Crab,SNIB,0,1
CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1,HMRpW7K7VzazcaxNtCixRhjQorpdWKFUq2LytxAk1tJN,Custom,1,0,0,0,1,1,0,1,GvH7R81Dsyo3TpskyxVZnrjKnmjXmrLLhzqtSvR4WjvR;4sF69LiRiQuQev3ndcdq3GLH9ps1mSuyYHRYvSwZye3s,Solarian Rangers #792,SR,0,1
CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1,HLGgvMR8vXMqeUENupYTRmiLX4XWWRjgBT62T5Yw9tbK,FungibleAsset,1,0,0,0,5079,0,0,0,,Mystery,BOX,0,1
CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1,HL9jvrTtoeBCdwBF9Mixmpt72dRvpnm58QWEZMQvud2o,V1_NFT,1,0,0,0,1,0,0,0,5bgPbJs88ZvFAX1sugyQJtyph9g7fVi1KJPqjCDjjMLR,MICE,,0,1
CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1,HH9jVCGfBk844PxNWdirEbQsFzSwvudeeADnjTS36gNF,FungibleToken,1,0,0,9,68890086072083161,1,0,0,,WEN?,WEN,0,1
CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1,HH6bT4KxChfMpaJLbeuQrsnGwkYawsK9WxXyaUNKNMVc,FungibleToken,1,0,0,0,16360001539,1,0,0,37mAQKn62h7gU1RnEXLBE6C96ZtcSupg94MapCbYb3xr,memevipz.com 🎁 Airdrop,MEMEDROP,0,1
CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1,HFKpCWvMaiJYTj3pVsC1cvcedsGvy15jh48WFgvdMHm9,V1_NFT,1,0,0,0,0,0,1,0,,Limited Drop,JPS,0,1
CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1,HEHGB2a6tKGDUqvdvKqAssw3zhumjpLPqwXAuRBe5fcz,FungibleAsset,1,0,0,0,14719,1,0,0,,Notice,EN,0,1
CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1,HDWQSx9TTn2JoPWnsNCz9GgVLR2A2SyoAqVPixwEp6dF,FungibleToken,1,0,0,9,996501346021927868,1,0,0,,Oiiaoiia,OIIAOIA,0,1
CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1,HDF9qpTohktvmUQ31Zr2KD3sJRD2HQeGcYY8GCRfUpXa,V1_NFT,1,0,0,0,1,1,0,1,Cs4NHJjfbQnWDgpbmtcKxKvtTeRXaU9cWtDmcDQpuPci;ASZnKgYbrQGrpeUQLkjE6duNmutMYb4vEERyPRAHFV2w,Flaskie Key,FLK,0,1
CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1,HBa74AZNeWW6vWr9Pdiw3zYKDsgRjMKoQD9q2gpn7Fhb,FungibleToken,1,0,0,0,18571001982,1,0,0,3qYkFn7H6B2tn7Uua9erpJ7wER1XBy6iRcCRkH1v1c8H,jupfinally.com 🎁 Airdrop,JUPDROP,0,1
